[2025-06-03 17:24:38,929] 15 root - INFO - initiate the data ingestion
[2025-06-03 17:24:50,817] 72 root - INFO - performed train test split on the dataframe
[2025-06-03 17:24:50,817] 74 root - INFO - exited from the split_data_as_train_test method of data_ingestion class
[2025-06-03 17:24:50,817] 78 root - INFO - Exporting train and test file path
[2025-06-03 17:24:50,907] 17 root - INFO - Data initiation completed
[2025-06-03 17:24:50,924] 21 root - INFO - initiate data validation
[2025-06-03 17:24:51,049] 43 root - INFO - required no of columns :{number_of_columns}
[2025-06-03 17:24:51,049] 44 root - INFO - dataframe have olumns :{len(dataframe.columns)}
[2025-06-03 17:24:51,060] 43 root - INFO - required no of columns :{number_of_columns}
[2025-06-03 17:24:51,060] 44 root - INFO - dataframe have olumns :{len(dataframe.columns)}
[2025-06-03 17:24:51,279] 23 root - INFO - data validation completed
